date,listeners,streams,followers
2018-04-28,1,1,284
2018-04-27,2,2,284
2018-04-26,5,7,284
2018-04-25,1,1,284
2018-04-24,6,10,284
2018-04-23,2,2,284
2018-04-22,2,9,284
2018-04-21,1,1,284
2018-04-20,4,4,284
2018-04-19,5,5,284
2018-04-18,2,2,284
2018-04-17,1,1,284
2018-04-16,3,3,284
2018-04-15,2,3,284
2018-04-14,3,3,284
2018-04-13,4,5,284
2018-04-12,4,12,284
2018-04-11,2,2,284
2018-04-10,5,15,284
2018-04-09,5,9,284
2018-04-08,5,21,284
2018-04-07,1,7,284
2018-04-06,6,11,284
2018-04-05,2,5,284
2018-04-04,2,5,284
2018-04-03,5,22,284
2018-04-02,5,11,284
2018-04-01,3,5,284
2018-03-31,4,15,283
2018-03-30,3,7,283
2018-03-29,4,6,283
2018-03-28,4,5,283
2018-03-27,3,8,283
2018-03-26,2,3,283
2018-03-25,3,8,283
2018-03-24,2,8,283
2018-03-23,0,0,283
2018-03-22,3,3,283
2018-03-21,3,3,283
2018-03-20,3,3,283
2018-03-19,2,2,283
2018-03-18,0,0,283
2018-03-17,3,4,283
2018-03-16,1,1,283
2018-03-15,3,6,283
2018-03-14,1,1,283
2018-03-13,2,2,283
2018-03-12,6,6,283
2018-03-11,0,0,283
2018-03-10,3,3,283
2018-03-09,7,8,283
2018-03-08,3,5,283
2018-03-07,6,26,283
2018-03-06,3,13,282
2018-03-05,3,8,282
2018-03-04,3,3,282
2018-03-03,3,4,282
2018-03-02,6,7,282
2018-03-01,3,3,282
2018-02-28,3,3,282
2018-02-27,3,4,282
2018-02-26,4,5,282
2018-02-25,3,3,282
2018-02-24,3,3,282
2018-02-23,2,2,282
2018-02-22,0,0,282
2018-02-21,2,2,282
2018-02-20,3,3,282
2018-02-19,2,4,282
2018-02-18,3,3,282
2018-02-17,3,3,282
2018-02-16,5,12,282
2018-02-15,1,1,282
2018-02-14,3,3,282
2018-02-13,1,1,282
2018-02-12,7,10,282
2018-02-11,2,3,282
2018-02-10,4,6,282
2018-02-09,3,7,282
2018-02-08,7,10,282
2018-02-07,5,6,282
2018-02-06,0,0,282
2018-02-05,2,2,282
2018-02-04,2,2,282
2018-02-03,2,2,282
2018-02-02,3,4,282
2018-02-01,3,4,282
2018-01-31,2,2,282
2018-01-30,3,5,282
2018-01-29,2,2,282
2018-01-28,0,0,282
2018-01-27,5,5,282
2018-01-26,4,11,282
2018-01-25,4,4,281
2018-01-24,4,4,282
2018-01-23,6,8,282
2018-01-22,1,1,282
2018-01-21,2,3,282
2018-01-20,3,3,282
2018-01-19,4,4,282
2018-01-18,2,2,282
2018-01-17,4,4,282
2018-01-16,4,4,282
2018-01-15,2,2,282
2018-01-14,1,2,282
2018-01-13,4,6,282
2018-01-12,5,5,282
2018-01-11,2,3,282
2018-01-10,3,6,281
2018-01-09,2,8,281
2018-01-08,3,20,281
2018-01-07,4,10,281
2018-01-06,6,10,281
2018-01-05,3,3,281
2018-01-04,4,5,281
2018-01-03,5,6,281
2018-01-02,6,6,281
2018-01-01,3,4,281
2017-12-31,7,8,281
2017-12-30,2,2,281
2017-12-29,5,6,281
2017-12-28,1,1,281
2017-12-27,2,2,281
2017-12-26,1,1,281
2017-12-25,3,5,281
2017-12-24,1,1,281
2017-12-23,4,4,281
2017-12-22,5,7,281
2017-12-21,5,5,280
2017-12-20,2,2,280
2017-12-19,6,7,280
2017-12-18,5,5,281
2017-12-17,2,2,282
2017-12-16,3,4,282
2017-12-15,3,3,282
2017-12-14,2,2,282
2017-12-13,5,6,282
2017-12-12,4,5,282
2017-12-11,3,3,282
2017-12-10,6,6,282
2017-12-09,6,7,282
2017-12-08,5,6,282
2017-12-07,5,5,282
2017-12-06,2,2,282
2017-12-05,3,5,281
2017-12-04,5,6,281
2017-12-03,4,6,281
2017-12-02,3,3,280
2017-12-01,3,3,280
2017-11-30,4,5,280
2017-11-29,3,5,280
2017-11-28,2,2,280
2017-11-27,2,2,279
2017-11-26,3,4,279
2017-11-25,4,4,279
2017-11-24,1,2,279
2017-11-23,2,3,279
2017-11-22,1,2,279
2017-11-21,2,2,279
2017-11-20,5,5,279
2017-11-19,6,6,278
2017-11-18,3,3,278
2017-11-17,2,2,278
2017-11-16,4,4,278
2017-11-15,3,4,278
2017-11-14,4,4,278
2017-11-13,3,3,278
2017-11-12,5,8,278
2017-11-11,1,1,278
2017-11-10,2,2,278
2017-11-09,2,3,278
2017-11-08,1,1,278
2017-11-07,0,0,278
2017-11-06,5,6,278
2017-11-05,3,3,278
2017-11-04,3,3,278
2017-11-03,2,2,278
2017-11-02,3,3,278
2017-11-01,3,4,278
2017-10-31,1,1,278
2017-10-30,0,0,278
2017-10-29,2,2,278
2017-10-28,2,2,278
2017-10-27,2,2,278
2017-10-26,4,9,278
2017-10-25,5,6,279
2017-10-24,2,2,279
2017-10-23,1,1,279
2017-10-22,2,15,279
2017-10-21,2,2,279
2017-10-20,1,1,279
2017-10-19,5,5,279
2017-10-18,0,0,279
2017-10-17,3,3,279
2017-10-16,4,4,279
2017-10-15,4,4,279
2017-10-14,1,1,279
2017-10-13,3,4,279
2017-10-12,3,4,279
2017-10-11,3,3,279
2017-10-10,3,3,279
2017-10-09,4,6,280
2017-10-08,0,0,280
2017-10-07,1,1,280
2017-10-06,2,2,280
2017-10-05,2,2,280
2017-10-04,2,2,280
2017-10-03,6,8,280
2017-10-02,1,1,280
2017-10-01,2,2,280
2017-09-30,5,5,280
2017-09-29,3,4,280
2017-09-28,5,6,280
2017-09-27,6,7,280
2017-09-26,5,12,280
2017-09-25,5,20,280
2017-09-24,3,3,280
2017-09-23,4,4,280
2017-09-22,6,18,280
2017-09-21,4,5,280
2017-09-20,2,2,280
2017-09-19,6,7,280
2017-09-18,6,14,280
2017-09-17,6,9,280
2017-09-16,4,6,280
2017-09-15,4,5,280
2017-09-14,1,1,279
2017-09-13,3,4,279
2017-09-12,4,4,279
2017-09-11,4,5,279
2017-09-10,3,3,279
2017-09-09,4,5,278
2017-09-08,4,4,278
2017-09-07,2,2,278
2017-09-06,5,8,279
2017-09-05,3,6,279
2017-09-04,4,4,279
2017-09-03,2,5,279
2017-09-02,6,14,279
2017-09-01,7,18,279
2017-08-31,8,16,279
2017-08-30,4,10,279
2017-08-29,6,9,279
2017-08-28,5,21,279
2017-08-27,5,19,279
2017-08-26,5,15,279
2017-08-25,4,11,279
2017-08-24,3,10,279
2017-08-23,7,15,279
2017-08-22,4,8,279
2017-08-21,4,6,279
2017-08-20,6,16,279
2017-08-19,4,15,279
2017-08-18,8,21,279
2017-08-17,10,19,279
2017-08-16,9,32,279
2017-08-15,6,12,279
2017-08-14,7,13,279
2017-08-13,5,14,279
2017-08-12,9,17,279
2017-08-11,5,11,279
2017-08-10,7,14,279
2017-08-09,3,5,279
2017-08-08,5,6,279
2017-08-07,2,4,280
2017-08-06,9,10,280
2017-08-05,4,12,280
2017-08-04,4,8,280
2017-08-03,3,4,280
2017-08-02,7,9,280
2017-08-01,6,14,280
2017-07-31,3,4,280
2017-07-30,7,12,280
2017-07-29,10,15,280
2017-07-28,8,23,280
2017-07-27,6,10,280
2017-07-26,7,14,280
2017-07-25,5,7,280
2017-07-24,10,11,279
2017-07-23,5,5,279
2017-07-22,5,8,279
2017-07-21,7,12,279
2017-07-20,22,330,279
2017-07-19,15,551,279
2017-07-18,27,1043,278
2017-07-17,25,771,278
2017-07-16,14,548,278
2017-07-15,18,555,278
2017-07-14,16,512,278
2017-07-13,27,901,278
2017-07-12,25,877,278
2017-07-11,26,880,278
2017-07-10,28,879,278
2017-07-09,34,1151,278
2017-07-08,52,1728,278
2017-07-07,50,1815,278
2017-07-06,47,1768,274
2017-07-05,49,1747,274
2017-07-04,44,1753,273
2017-07-03,43,1724,273
2017-07-02,45,1721,273
2017-07-01,46,1756,272
2017-06-30,46,1764,272
2017-06-29,44,1771,272
2017-06-28,47,1767,272
2017-06-27,46,1867,272
2017-06-26,47,1992,272
2017-06-25,45,1939,272
2017-06-24,43,1917,272
2017-06-23,45,1921,272
2017-06-22,46,1907,272
2017-06-21,44,1896,273
2017-06-20,45,1748,273
2017-06-19,26,964,272
